"STATION","NAME","DATE","PRCP","SNOW"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-01","0.11",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-02","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-03","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-04","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-05","0.52",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-06","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-07","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-08","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-09","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-10","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-11","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-12","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-13","0.53",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-14","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-15","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-16","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-17","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-19","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-20","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-21","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-22","0.34",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-23","0.08",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-24","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-25","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-26","0.29",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-27","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-28","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-29","0.01",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-30","0.00",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-31","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-01","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-02","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-03","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-04","0.34",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-05","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-06","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-07","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-08","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-09","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-10","0.01",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-11","0.88",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-12","0.52",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-13","0.01",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-14","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-15","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-16","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-17","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-18","0.07",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-19","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-20","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-21","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-22","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-23","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-24","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-25","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-26","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-27","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-28","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-01","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-02","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-03","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-04","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-05","0.44",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-06","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-07","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-08","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-09","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-10","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-11","0.16",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-12","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-13","0.84",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-14","1.24",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-15","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-16","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-17","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-18","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-19","0.98",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-20","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-21","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-22","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-23","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-24","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-25","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-26","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-27","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-28","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-29","0.03",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-30","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-03-31","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-01","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-02","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-03","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-04","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-05","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-06","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-07","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-08","0.28",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-09","0.59",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-10","0.02",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-11","0.00",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-12","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-13","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-14","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-15","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-16","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-17","0.06",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-18","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-19","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-20","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-21","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-22","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-23","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-24","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-25","0.02",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-26","0.83",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-27","0.08",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-28","1.12",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-29","0.00",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-04-30","0.69",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-01","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-02","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-03","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-04","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-05","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-06","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-07","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-08","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-09","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-10","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-11","0.06",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-12","0.03",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-13","0.62",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-14","0.06",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-15","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-16","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-17","0.60",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-18","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-19","0.15",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-20","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-21","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-22","0.12",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-23","0.02",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-24","0.38",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-25","0.00",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-05-26","0.00","0.0"
